Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR23257372_1	58.37297789034398	47.0	151.0	151	27.27272727272727	12293448.0
SRR23257372_2	49.88356480400126	48.0	151.0	151	9.090909090909092	12293448.0
SRR23257373_1	60.0792180001319	47.0	151.0	151	27.27272727272727	13326716.0
SRR23257373_2	50.777842174641606	48.0	151.0	151	18.181818181818183	13326716.0
SRR23257374_1	59.19430612257094	48.0	151.0	151	27.27272727272727	14023530.0
SRR23257374_2	49.80702581367129	48.0	151.0	151	9.090909090909092	14023530.0
SRR23257376_1	53.51349659024342	47.0	151.0	151	27.27272727272727	12413260.0
SRR23257376_2	48.63127844808348	47.0	151.0	151	9.090909090909092	12413260.0
SRR23257377_1	52.22881508659099	48.0	151.0	151	27.27272727272727	11986161.0
SRR23257377_2	45.501594336170214	48.0	151.0	151	9.090909090909092	11986161.0
SRR23257378_1	54.95467401945119	47.0	151.0	151	27.27272727272727	14115167.0
SRR23257378_2	49.4513795770546	47.0	151.0	151	9.090909090909092	14115167.0
