gene_id	AsPC1_ctrl_1	AsPC1_ctrl_2	AsPC1_ctrl_3	OEserpinb3_1	OEserpinb3_2	OEserpinb3_3
ENSG00000000003	309	307	287	165	182	185
ENSG00000000419	471	458	452	495	539	542
ENSG00000000457	139	175	154	167	171	176
ENSG00000000460	231	261	275	218	290	289
ENSG00000000971	26	26	28	17	11	11
ENSG00000001036	759	683	828	830	916	882
ENSG00000001084	868	709	859	871	897	862
ENSG00000001167	578	515	518	523	541	541
ENSG00000001460	88	75	85	124	109	105
ENSG00000001461	522	535	472	425	455	468
ENSG00000001497	426	489	391	400	390	409
ENSG00000001561	46	44	47	61	61	60
ENSG00000001629	1404	1453	1736	1649	1577	1516
ENSG00000001630	2904	2644	2890	3147	3396	3340
ENSG00000001631	526	666	580	663	575	590
ENSG00000002016	128	102	101	135	124	124
ENSG00000002079	78	84	94	65	61	60
ENSG00000002330	122	123	125	96	99	99
ENSG00000002549	497	448	469	437	528	526
ENSG00000002586	256	281	227	285	302	317
ENSG00000002587	209	279	239	338	303	312
ENSG00000002726	145	156	156	78	80	80
ENSG00000002745	8	12	5	5	4	5
ENSG00000002746	24	20	20	12	19	19
ENSG00000002822	245	361	254	282	321	348
ENSG00000002834	5717	5750	5755	5633	5694	5695
ENSG00000002919	135	132	179	119	87	81
ENSG00000002933	688	673	647	531	599	606
ENSG00000003056	995	1047	1035	1242	1168	1168
ENSG00000003137	25	13	43	24	24	19
ENSG00000003147	8	22	11	11	11	12
ENSG00000003393	567	669	749	736	805	788
ENSG00000003400	367	353	409	315	308	298
ENSG00000003402	2126	2084	2244	2082	1890	1855
ENSG00000003436	1090	1028	1134	953	1084	1066
ENSG00000003509	216	246	238	215	243	246
ENSG00000003756	976	845	827	1066	1005	1008
ENSG00000004059	795	788	729	654	702	716
ENSG00000004139	50	73	39	42	73	85
ENSG00000004142	728	731	777	708	747	739
ENSG00000004399	611	793	526	852	655	708
ENSG00000004455	2002	2373	1938	2125	2476	2599
ENSG00000004478	1287	1089	1495	1573	1601	1497
ENSG00000004487	1564	1508	1457	1535	1616	1631
ENSG00000004534	808	885	679	821	898	953
ENSG00000004660	30	40	31	24	32	35
ENSG00000004700	800	701	683	747	808	815
ENSG00000004766	369	396	413	552	398	390
ENSG00000004777	61	96	54	38	61	70
ENSG00000004779	522	441	513	469	511	497
ENSG00000004799	448	441	439	390	440	443
ENSG00000004864	2103	1842	1989	2700	2426	2378
ENSG00000004866	275	261	284	300	264	258
ENSG00000004897	1196	1383	1108	1354	1272	1331
ENSG00000004948	9	12	15	9	12	11
ENSG00000004961	201	212	220	196	207	206
ENSG00000004975	402	419	338	366	377	395
ENSG00000005007	655	642	581	496	554	568
ENSG00000005020	2763	3044	3120	3379	2871	2840
ENSG00000005022	3015	3098	3110	2324	2527	2532
ENSG00000005059	136	126	162	137	144	137
ENSG00000005073	92	73	85	82	81	78
ENSG00000005075	452	457	371	448	406	423
ENSG00000005100	410	432	457	425	377	371
ENSG00000005108	229	235	203	195	170	174
ENSG00000005156	209	174	154	267	223	228
ENSG00000005175	623	563	515	661	714	730
ENSG00000005187	440	700	453	362	396	436
ENSG00000005189	167	169	242	95	179	169
ENSG00000005194	306	277	336	344	257	244
ENSG00000005206	280	399	276	319	283	305
ENSG00000005238	261	296	222	334	294	312
ENSG00000005243	3	5	4	2	2	3
ENSG00000005302	258	245	307	190	321	312
ENSG00000005339	1648	1671	1381	1884	1436	1482
ENSG00000005436	253	222	291	245	286	271
ENSG00000005448	101	113	93	83	86	89
ENSG00000005469	82	99	147	81	116	108
ENSG00000005483	1438	1366	1570	1615	1368	1320
ENSG00000005486	645	777	814	609	682	677
ENSG00000005513	13	14	11	8	5	5
ENSG00000005700	1225	1266	1248	1413	1402	1406
ENSG00000005801	431	357	464	366	369	349
ENSG00000005810	336	568	485	691	383	388
ENSG00000005812	457	441	474	496	492	484
ENSG00000005882	231	156	170	128	123	121
ENSG00000005884	2187	2580	2426	2692	2457	2481
ENSG00000005889	292	362	411	309	378	371
ENSG00000005893	1053	959	939	845	867	871
ENSG00000006007	1210	1081	1031	794	882	894
ENSG00000006015	35	21	35	27	35	31
ENSG00000006025	86	110	84	138	139	147
ENSG00000006042	117	107	134	99	104	99
ENSG00000006047	6	0	3	0	3	2
